sample,treatment,Inoculum,wet_w,box_w,wet_solo,dry_w,dry_solo,Dry matter%,TotLength(cm),ProjArea(cm2),SurfArea(cm2)...12,AvgDiam(cm)...13,TotLenPerVol(cm/m3)...14,TotRootVolume...15,SurfArea(cm2)...16,AvgDiam(cm)...17,TotLenPerVol(cm/m3)...18,TotRootVolume...19,0.00<.L.<=0.50,0.50<.L.<=1.00,1.00<.L.<=1.50,1.50<.L.<=2.00,L-<=2,L%.<=2,2.00<.L.<=2.50,2.50<.L.<=3.00,3.00<.L.<=3.50,3.50<.L.<=4.00,4.00<.L.<=4.50,.L.>4.50,0.00<.A.<=0.50,0.50<.A.<=1.00,1.00<.A.<=1.50,1.50<.A.<=2.00,2.00<.A.<=2.50,2.50<.A.<=3.00,3.00<.A.<=3.50,3.50<.A.<=4.00,4.00<.A.<=4.50,.A.>4.50,0.00<.V.<=0.50,0.50<.V.<=1.00,1.00<.V.<=1.50,1.50<.V.<=2.00,2.00<.V.<=2.50,2.50<.V.<=3.00,3.00<.V.<=3.50,3.50<.V.<=4.00,4.00<.V.<=4.50,.V.>4.50
NCIT_104,T,NI,10.106,2.038,8.068,6.8764,4.8384,0.5997025285076847,3649.5033,685.6621,2154.071,0.1921,3569.2265,103.451,2154.071,0.1921,3569.2265,103.451,581.947,994.5829,729.4418,588.4304,2894.4021000000002,0.7930948027913827,282.103,224.9166,74.9156,53.7001,50.9403,68.5258,63.9696,291.3641,340.1296,421.3623,256.3395,256.0185,104.5173,84.4982,91.6771,244.1948,0.2763,3.4591,6.2954,11.9257,9.1787,11.4754,5.7372,5.2299,6.4887,43.385
NCIT_108,T,NI,7.528,3.225,4.302999999999999,6.7785,3.5535,0.8258191959098306,5483.6853,808.601,2540.2948,0.1477,5476.067,93.776,2540.2948,0.1477,5476.067,93.776,679.3093,1644.5048,1606.3786,986.1572,4916.3499,0.896541218366415,270.932,153.6168,33.4197,15.9638,21.9974,71.4057,67.8963,446.1268,680.4768,631.3328,223.2707,159.2503,42.005,22.7861,36.034,231.116,0.283,5.187,12.1425,16.9542,7.6939,6.8996,2.2051,1.3577,2.4638,38.5888
NCIT_113,T,NI,11.466,2.9514,8.5146,7.1668,4.215400000000001,0.4950790407065512,6185.3742,901.3547,2831.6894,0.1497,6022.188,105.956,2831.6894,0.1497,6022.188,105.956,1168.409,2605.4488,1268.0908,588.941,5630.8895999999995,0.9103555286921847,213.2639,162.8696,60.2327,29.6263,30.1689,58.3517,136.3723,805.4978,620.4394,441.8587,205.1338,196.5685,88.7221,49.6063,57.9255,229.5649,0.5886,9.5074,11.324,12.331,7.3158,8.7909,4.8396,3.0748,4.1164,44.068
NCIT_114,T,NI,10.991,3.5187,7.4723,7.3248,3.8061,0.5093612408495376,5146.0164,735.8671,2311.7948,0.1466,5018.2205,84.75,2311.7948,0.1466,5018.2205,84.75,1317.7486,1642.184,1077.9314,648.1361,4686.0001,0.9106073000466924,169.773,127.5697,35.8865,33.4509,38.015,55.2352,149.3418,485.8505,517.0304,471.0144,158.5287,149.5279,51.5706,54.3725,70.6104,203.9477,0.5677,4.9896,8.401,11.5489,4.9785,5.8911,2.4891,2.9677,4.4031,38.5132
NCIT_121,T,NI,10.043,2.675,7.367999999999999,5.9094,3.2344,0.4389793702497286,6083.2239,945.9463,2971.7778,0.1568,6032.7011,116.496,2971.7778,0.1568,6032.7011,116.496,562.6172,1729.3762,1701.0699,1381.6167,5374.68,0.8835249348622529,323.6124,189.1647,75.829,55.0195,24.2272,40.6912,57.2205,479.3065,733.3101,908.1425,270.8386,198.7672,97.5174,80.1334,40.2289,106.3127,0.319,7.4762,17.501,32.9106,12.4556,11.4707,6.8832,6.4034,3.6641,17.4123
NCIT_129,T,NI,10.8997,3.069,7.830699999999999,6.8,3.731,0.47645804334222996,6409.0018,1126.4114,3538.7258,0.1822,6181.1828,161.218,3538.7258,0.1822,6181.1828,161.218,723.0593,1893.4072,1812.155,1221.0273,5649.6488,0.8815177427473964,305.537,215.2485,72.6363,52.3591,39.8526,73.7015,84.5554,603.0731,894.0067,920.138,294.7528,261.2008,107.004,87.8259,76.5943,209.5749,0.5135,10.2432,23.1221,36.2198,14.8059,16.4947,8.1977,7.6581,7.6511,36.3115
NCIT_133,T,NI,9.29,3.1665,6.123499999999999,6.1792,3.0126999999999997,0.4919898750714461,5056.9588,765.7018,2405.5231,0.15310000000000001,5001.283,92.072,2405.5231,0.15310000000000001,5001.283,92.072,739.9432,1785.9471,1326.8554,760.2146,4612.9603,0.9122004909353818,182.6273,135.7605,44.3038,14.9254,17.3235,49.0204,81.0762,524.5948,617.6043,533.5315,165.15,154.4389,61.2723,23.161,31.1095,213.5846,0.301,5.3788,9.8408,12.7613,5.0741,5.9656,2.8754,1.2186,1.8945,46.762
NCIT_139,T,NI,9.8182,3.0395,6.778699999999999,6.3844,3.3449000000000004,0.4934426955020876,5854.2055,792.9257,2491.0497,0.1374,5772.8439,85.539,2491.0497,0.1374,5772.8439,85.539,1139.1574,1913.3472,1473.1614,866.6245,5392.2905,0.9210968935067277,209.0342,127.2229,42.5597,18.4703,12.7312,51.9032,119.6403,530.8881,653.2938,584.2179,181.3287,138.2694,56.8107,27.701,21.7523,177.1475,0.4983,6.0338,11.6003,15.7103,6.2553,5.9719,3.0111,1.6491,1.4749,33.3341
NCIT_142,T,NI,10.8303,3.195,7.635299999999999,7.1677,3.9727,0.52030699514099,6617.4561,985.6698,3096.573,0.1512,6520.5906,117.022,3096.573,0.1512,6520.5906,117.022,1076.2567,2307.3924,1520.7775,952.9648,5857.3913999999995,0.8851424643376175,302.0191,214.1415,98.3533,45.5643,55.0885,44.8892,116.9751,666.0775,696.2715,669.6293,271.2533,241.4678,135.0905,70.6073,97.8749,131.3258,0.5967,9.3125,15.1019,22.2143,11.466,12.8064,8.7207,5.1398,8.168,23.4954
NCIT_150,T,NI,14.4258,3.358,11.0678,9.147,5.789,0.5230488443954534,5940.5736,1229.5387,3862.7097,0.2084,5900.1289,201.239,3862.7097,0.2084,5900.1289,201.239,533.0487,1429.1798,1548.3771,1193.5177,4704.1233,0.7918634826778345,396.7982,347.3883,162.1249,84.0017,89.3509,156.7928,58.8761,429.447,724.1096,850.2446,361.7465,398.3983,226.612,132.8507,161.0887,519.3363,0.2546,5.1898,13.391,23.8558,12.948,17.9279,12.419,8.2349,11.3801,95.6383
PC_053,NT,PC,6.6207,2.5625,4.0582,4.0069,1.4444,0.35592134443842094,1173.7883,261.699,822.1517,0.2253,1161.4569,46.312,822.1517,0.2253,1161.4569,46.312,334.2433,372.2263,251.1266,61.5696,1019.1658,0.8682705390742096,16.5372,12.7202,11.3981,8.5509,23.7968,81.5994,38.9583,113.9141,122.1393,45.3214,16.2308,15.7049,16.8674,14.3874,45.2802,393.3479,0.0792,0.6284,1.0441,0.5847,0.2787,0.3388,0.4357,0.4225,1.5032,40.9964
PC_063,NT,PC,5.8542,2.8537,3.0004999999999997,3.7486,0.8949000000000003,0.29825029161806377,1392.8414,232.6635,730.9341,0.1706,1364.1457,31.166,730.9341,0.1706,1364.1457,31.166,410,519.7448,235.9833,103.1581,1268.8862000000001,0.9110055172110767,32.0374,27.3931,10.8096,6.3761,7.7,39.639,48.8133,161.657,118.5376,78.5853,31.1582,33.9156,16.4808,10.7588,15.0022,216.0254,0.0977,0.8743,1.0101,1.0118,0.5103,0.7072,0.4226,0.3053,0.4916,25.7356
PC_065,NT,PC,8.7425,2.5021,6.240399999999999,5.3569,2.8548000000000004,0.45747067495673366,2101.3349,437.538,1374.5661,0.2197,1991.9019,75.484,1374.5661,0.2197,1991.9019,75.484,441.3543,574.3546,483.6014,255.9251,1755.2354,0.8352954115024693,96.8234,90.4749,53.5898,30.7094,24.6833,49.8734,57.5621,197.8705,265.1536,214.3361,105.0045,123.6415,88.4264,56.7953,52.585,213.1913,0.2563,2.4039,5.0089,6.1645,3.8998,5.7816,4.9883,3.5887,3.8277,39.564
PC_067,NT,PC,7.0075,2.8838,4.1237,4.5665,1.6826999999999996,0.4080558721536483,1621.178,285.4327,896.7132,0.1883,1515.5185,42.222,896.7132,0.1883,1515.5185,42.222,398.1344,628.5808,348.3896,144.273,1519.3778,0.9372060316633953,32.7644,25.8495,5.451,3.439,6.9559,27.3404,56.0977,235.4132,204.9766,129.0396,37.9061,37.7951,9.7542,6.8955,16.2685,162.5668,0.1684,1.9386,2.5913,2.4733,0.9368,1.1802,0.3724,0.2949,0.8115,31.4543
PC_069,NT,PC,10.88,2.6471,8.2329,6.289,3.6418999999999997,0.4423593144578459,2472.05,555.7323,1745.8844,0.2274,2444.0176,99.247,1745.8844,0.2274,2444.0176,99.247,434.4194,643.0652,557.8783,330.8546,1966.2175000000002,0.7953793410327461,121.8433,105.2116,68.057,43.0701,38.8635,128.787,47.5574,188.7642,257.5424,231.2031,111.687,119.9453,93.8144,67.1309,68.9561,559.2836,0.1159,1.2712,2.673,3.6189,2.2875,3.052,2.8843,2.3322,2.7264,78.2854
PC_070,NT,PC,7.4762,2.4017,5.0745000000000005,4.7613,2.3596000000000004,0.4649916247906198,1705.6518,332.4278,1044.3528,0.2047,1623.8573,53.449,1044.3528,0.2047,1623.8573,53.449,395.5801,563.0325,368.122,172.1317,1498.8663,0.8787645286101183,47.5365,49.8543,23.1011,14.405,17.0716,54.8455,52.1496,195.283,204.0177,145.5061,51.7106,67.9465,38.9768,26.7643,36.8522,225.1458,0.1888,1.9227,3.1337,3.3978,1.5491,2.5485,1.8078,1.3662,2.1866,35.3474
PC_081,NT,PC,10.2715,2.276,7.9955,5.3063,3.0303000000000004,0.37900068788693647,974.3591,395.074,1241.1616,0.4093,965.1514,127.014,1241.1616,0.4093,965.1514,127.014,187.7863,268.6911,169.5274,89.1197,715.1244999999999,0.7339434711493944,66.753,39.8679,11.0332,8.3302,4.0316,129.2187,23.1019,87.8961,88.6127,70.621,68.3808,50.2118,17.0332,14.6192,8.2864,812.3986,0.0583,0.6085,0.9599,1.1547,1.4414,1.2994,0.5402,0.5268,0.3496,120.0751
PC_083,NT,PC,9.5569,3.0695,6.487400000000001,6.1349,3.0654,0.4725159540031445,2170.5528,389.4733,1223.5664,0.187,2083.2073,57.189,1223.5664,0.187,2083.2073,57.189,390.6192,719.0352,601.3969,251.9743,1963.0256,0.9043897020150812,47.3466,40.3362,11.2663,6.1624,14.3721,88.0435,45.638,230.6242,295.3392,186.1996,46.0858,48.5139,16.3951,10.4225,27.3683,316.9798,0.1492,2.1218,4.0953,3.8709,1.2591,1.6358,0.6686,0.4938,1.4593,41.4352
PC_089,NT,PC,4.406,2.3277,2.0782999999999996,3.3706,1.0429,0.5018043593321465,861.7383,186.4528,585.7587,0.2208,844.6183,32.327,585.7587,0.2208,844.6183,32.327,156.1793,192.6884,251.9508,126.2226,727.0410999999999,0.8436912923563916,31.0154,17.2741,6.5657,5.599,6.9699,67.273,17.3317,56.937,119.5758,89.866,28.6415,20.1735,9.2704,8.8348,12.684,222.4439,0.0554,0.5,1.6528,1.8541,0.7644,0.6802,0.3775,0.4019,0.6656,25.3753
PC_091,NT,PC,9.9886,2.7046,7.284,6.0448,3.3402000000000003,0.45856672158154865,2979.5416,607.1916,1907.5486,0.2075,2926.9035,98.931,1907.5486,0.2075,2926.9035,98.931,606.9652,1022.008,593.2672,252.2785,2474.5188999999996,0.830503222374878,107.6254,120.9557,63.6289,36.6215,35.0754,141.107,72.703,326.6761,297.9085,192.6573,107.4491,150.7113,97.1199,62.4715,69.3196,530.5323,0.2164,2.676,3.7509,3.6778,2.6747,4.6776,3.6886,2.651,3.408,71.5101
PCIT_003,T,PC,9.4956,2.3898,7.1057999999999995,6.9078,4.518,0.6358186270370684,2593.1489,429.6872,1349.9021,0.1719,2499.0583,58.025,1349.9021,0.1719,2499.0583,58.025,619.8811,810.1295,560.1551,352.7654,2342.9311,0.9035081248130409,102.4444,71.2048,22.1384,9.782,12.3971,32.2617,79.5949,274.3547,304.2705,292.3548,108.854,94.889,36.0838,18.1387,25.9978,115.3639,0.421,3.9542,6.8752,10.0393,4.7781,5.2199,2.4257,1.387,2.2475,20.6775
PCIT_007,T,PC,6.6144,2.3831,4.231299999999999,4.6497,2.2666,0.5356746153664359,3446.2476,514.0556,1614.9532,0.1525,3370.6687,61.574,1614.9532,0.1525,3370.6687,61.574,673.7452,1203.1495,877.9145,450.1971,3205.0062999999996,0.9299988486027526,85.9794,60.1917,30.4428,15.6927,12.3265,36.6082,79.8024,383.3825,437.6283,342.7114,84.1903,74.2517,45.6036,26.6262,24.2392,116.5177,0.4238,5.639,9.8718,11.766,3.7066,4.1158,3.0672,2.0277,2.1389,18.8167
PCIT_012,T,PC,8.0747,2.613,5.4617000000000004,5.8587,3.2457,0.5942655217240053,1696.9247,275.3726,865.1086,0.1718,1602.4128,37.167,865.1086,0.1718,1602.4128,37.167,521.5229,576.6155,322.6706,158.923,1579.732,0.9309381848234043,37.5495,34.5662,5.9328,11.999,6.4642,20.6724,74.5887,215.2081,192.3139,146.5997,44.4916,51.5113,10.742,24.5145,15.2606,89.8781,0.3563,2.7764,3.859,4.5435,1.7659,2.5696,0.6505,1.6745,1.2044,17.7668
PCIT_018,T,PC,8.3337,2.0858,6.2479000000000005,5.7423,3.6565000000000003,0.5852366395108757,1935.5968,360.778,1133.4175,0.1889,1909.4987,53.537,1133.4175,0.1889,1909.4987,53.537,509.067,683.4951,401.9011,145.186,1739.6492,0.8987663133148391,38.5251,40.6449,22.207,22.2182,14.6179,57.7346,64.1758,227.7145,210.5349,118.3884,39.7188,53.4575,35.834,39.6389,30.4083,313.5463,0.1603,1.5523,2.2014,1.9237,0.813,1.3959,1.1466,1.4018,1.2542,41.6875
PCIT_026,T,PC,12.1227,2.8513,9.2714,8.7506,5.8993,0.6362900964255668,1271.5413,362.8308,1139.8666,0.3082,1177.31,87.823,1139.8666,0.3082,1177.31,87.823,267.5432,371.2531,278.6592,142.0543,1059.5098,0.8332484363661644,51.2876,40.9508,18.2548,14.2241,4.9774,82.363,42.0843,157.2066,183.7418,143.0178,67.5677,67.4288,36.5425,31.6713,12.7425,397.8633,0.1757,1.8186,3.2436,3.8436,2.3702,2.9532,1.9437,1.8727,0.8664,68.7352
PCIT_029,T,PC,6.0954,2.3692,3.7261999999999995,4.4336,2.0644,0.5540228651172777,3361.1697,397.2817,1248.0972,0.1215,3270.0225,37.908,1248.0972,0.1215,3270.0225,37.908,1166.8045,1314.7655,512.8933,214.9147,3209.3779999999992,0.9548396202667182,43.2748,36.9253,17.1173,9.6749,12.2078,32.6704,137.4339,401.5588,251.9646,162.4903,41.8966,45.1416,25.5151,16.2012,24.0596,141.8354,0.424,3.328,3.2689,3.2372,1.0652,1.4488,0.9977,0.7113,1.243,22.1844
PCIT_034,T,PC,6.6417,2.3144,4.3273,4.8299,2.5155000000000003,0.5813093614956208,1992.7665,287.276,902.5042,0.1462,1964.423,32.995,902.5042,0.1462,1964.423,32.995,422.7196,836.4905,410.3366,177.3352,1846.8818999999999,0.926792928323514,41.2582,51.8426,13.0165,6.5352,7.9885,25.2437,47.5198,249.3956,192.2954,128.7677,38.5311,60.3479,18.6321,10.3991,14.6765,141.9391,0.1209,1.7366,2.0554,2.1281,0.8167,1.5928,0.6042,0.3746,0.6106,22.9555
PCIT_040,T,PC,7.7692,2.0834,5.6857999999999995,5.556,3.4726,0.610749586689648,1236.9656,273.2269,858.3675,0.2289,1193.7458,49.116,858.3675,0.2289,1193.7458,49.116,256.6008,358.9095,306.971,149.5832,1072.0645,0.8666890170591648,36.184,45.1778,20.7994,3.9419,11.3545,47.4434,34.834,130.7318,175.3841,129.0394,40.2057,64.3219,35.5196,7.7173,25.3968,215.2168,0.1251,1.2974,2.675,2.961,1.1843,2.4277,1.6068,0.4001,1.5038,34.9351
PCIT_046,T,PC,9.45,2.3143,7.1357,6.4258,4.1114999999999995,0.5761873397143937,1337.6398,324.3669,1019.0287,0.2513,1290.6079,64.028,1019.0287,0.2513,1290.6079,64.028,167.1911,294.7546,422.9587,260.5762,1145.4805999999999,0.8563445854407142,55.441,53.1596,25.9934,10.3618,10.9652,36.2381,22.8013,108.2664,248.2023,225.4393,62.7428,75.0279,45.4385,20.1353,24.4141,186.5607,0.1022,1.3456,4.8427,6.4477,2.3413,3.4885,2.6135,1.2875,1.7884,39.7704
PCIT_050,T,PC,6.93,2.8978,4.0322,5.3315,2.4337,0.6035662913545956,4316.0513,552.8546,1736.8438,0.1284,4306.039,55.749,1736.8438,0.1284,4306.039,55.749,773.8855,1582.4451,1234.2086,433.6082,4024.1474,0.9323678335333966,103.7202,87.5141,29.9877,21.5479,10.9604,38.1735,79.652,438.6574,530.2872,286.4246,88.1384,93.3405,38.8799,31.8979,18.5043,131.0617,0.3122,4.7662,8.7479,7.2473,2.8601,3.7992,1.9225,1.8002,1.1907,23.1023
